Task	Typ of Try	FT/ST	Begin launch	Num Try	Num CibleA	Num CibleB	Pos CibleA	Pos CibleB	RecA__B	Target Choice	Good Choice	Reward	Num error	 E0	E10	E20	E30	E100	E40	E15	E25	E35	E45	E55	E105	E115	E200	E250	E251	E252	E253	E254	E255
2	Exec_Auto	1	22129112	10	1	0	1	0	0	A	0	1	0	856883	0	0	0	0	0	942386	942411	943157	944010	944314	0	944814	945054	0	0	0	0	0	0
2	Exec_Auto	1	22129112	11	1	0	3	2	0	B	1	1	0	856883	0	0	0	0	0	947054	947109	947651	948311	949324	949824	0	950065	0	0	0	0	0	0
2	Exec_Auto	1	22129112	12	1	0	1	2	0	B	1	0	0	856883	0	0	0	0	0	952066	952115	953061	953664	954404	954904	0	955144	0	0	0	0	0	0
2	Exec_Auto	1	22129112	13	1	0	2	0	0	A	0	1	0	856883	0	0	0	0	0	957145	957196	958670	959294	959614	0	960114	960355	0	0	0	0	0	0
2	Exec_Auto	1	22129112	14	0	1	2	0	0	A	0	0	252	856883	0	0	0	0	0	962355	962424	963376	963938	964250	0	0	967730	0	0	964530	0	0	0
2	Exec_Auto	1	22129112	14	0	1	2	0	0	A	0	0	252	856883	0	0	0	0	0	969730	969778	970730	971534	971965	0	0	975507	0	0	972307	0	0	0
2	Exec_Auto	1	22129112	14	0	1	2	0	0	A	0	0	0	856883	0	0	0	0	0	977508	977569	978521	979178	979745	0	980245	980485	0	0	0	0	0	0
2	Exec_Auto	1	22129112	15	0	1	3	0	0	A	0	1	0	856883	0	0	0	0	0	982485	982547	983054	985030	985318	0	985818	986058	0	0	0	0	0	0
2	Exec_Auto	1	22129112	16	1	0	1	2	0	B	1	1	0	856883	0	0	0	0	0	988059	988124	989259	989918	990837	991337	0	991578	0	0	0	0	0	0
2	Exec_Auto	1	22129112	17	0	1	1	0	0	A	0	0	0	856883	0	0	0	0	0	993578	993627	995047	995781	995902	0	996402	996642	0	0	0	0	0	0
2	Exec_Auto	1	22129112	18	1	0	3	0	0	B	1	0	252	856883	0	0	0	0	0	998642	998704	999983	1000536	1000702	0	0	1003935	0	0	1000735	0	0	0
2	Exec_Auto	1	22129112	18	1	0	3	0	0	B	1	0	0	856883	0	0	0	0	0	1005937	1006000	1007279	1008053	1008210	1008710	0	1008951	0	0	0	0	0	0
2	Exec_Auto	1	22129112	19	0	1	1	2	0	B	1	1	0	856883	0	0	0	0	0	1010952	1011032	1011788	1012583	1013202	1013702	0	1013943	0	0	0	0	0	0
2	Exec_Auto	0	22129112	0	1	0	1	2	0	B	1	0	252	1015944	0	0	0	0	0	1015973	1016067	1017367	1017890	1018512	0	0	1021899	0	0	1018699	0	0	0
2	Exec_Auto	0	22129112	0	1	0	1	2	0	B	1	1	0	1015944	0	0	0	0	0	1023899	1023947	1025247	1025799	1026040	1026540	0	1026780	0	0	0	0	0	0
2	Exec_Auto	0	22129112	1	0	1	3	0	1	A	1	0	252	1015944	0	0	0	0	0	1028781	1028808	1029515	1030147	1030803	0	0	1034133	0	0	1030933	0	0	0
2	Exec_Auto	0	22129112	1	0	1	3	0	1	A	1	1	0	1015944	0	0	0	0	0	1036134	1036183	1036890	1037692	1038249	1038749	0	1038990	0	0	0	0	0	0
2	Exec_Auto	0	22129112	2	1	0	0	3	0	B	1	0	0	1015944	0	0	0	0	0	1040990	1041043	1041697	1042670	1042954	1043454	0	1043695	0	0	0	0	0	0
2	Exec_Auto	0	22129112	3	0	1	0	2	1	A	1	0	252	1015944	0	0	0	0	0	1045696	1051021	1051895	1052044	1052557	0	0	1056224	0	0	1053024	0	0	0
2	Exec_Auto	0	22129112	3	0	1	0	2	1	A	1	0	252	1015944	0	0	0	0	0	1058224	1058296	1059170	1059617	1059798	0	0	1063320	0	0	1060120	0	0	0
2	Exec_Auto	0	22129112	3	0	1	0	2	1	A	1	0	252	1015944	0	0	0	0	0	1065320	1065395	1066269	1066758	1066961	0	0	1070438	0	0	1067238	0	0	0
2	Exec_Auto	0	22129112	3	0	1	0	2	1		1	0	255	1015944	0	0	0	0	0	1072439	1072498	0	0	0	0	0	1074099	0	0	0	0	0	1072599
2	Exec_Auto	0	22129112	3	0	1	0	2	1	A	1	1	0	1015944	0	0	0	0	0	1076099	1076131	1077005	1077558	1077721	1078221	0	1078462	0	0	0	0	0	0
2	Exec_Auto	0	22129112	4	1	0	0	2	0	B	1	1	0	1015944	0	0	0	0	0	1080463	1080508	1081010	1081482	1082290	1082790	0	1083031	0	0	0	0	0	0
2	Exec_Auto	0	22129112	5	0	1	2	1	1	A	1	1	0	1015944	0	0	0	0	0	1085031	1085109	1086108	1086602	1086811	1087311	0	1087552	0	0	0	0	0	0
2	Exec_Auto	0	22129112	6	1	0	3	1	0	B	1	1	0	1015944	0	0	0	0	0	1089553	1089602	1090220	1090936	1091127	1091627	0	1091867	0	0	0	0	0	0
